Anime,Rating
Hagane no renkinjutsushi,8.5
Shingeki no Kyojin,9.0
Bleach: Sennen Kessen-hen,9.0
Hunter x Hunter,9.0
Ginga Eiyuu Densetsu,9.0
One Piece: Wan pîsu,8.9
Death Note: Desu nôto,8.9
Kaubôi bibappu: Cowboy Bebop,8.9
Ginga: Nagareboshi Gin,8.9
Vinland Saga,8.8
Dragon Ball Z,8.8
Steins;Gate,8.8
Naruto: Shippûden,8.7
Kenpuu Denki Berserk,8.7
One Punch Man: Wanpanman,8.7
Monster,8.7
Gintama,8.7
Haikyuu!!,8.7
Code Geass: Hangyaku no Lelouch,8.7
Kimetsu no Yaiba,8.6
Mob Psycho 100,8.6
Fruits Basket,8.6
Jujutsu Kaisen,8.5
JoJo no Kimyô na Bôken,8.5
Shinseiki Evangelion,8.5
Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,8.5
Kingdom,8.5
Ôsama Ranking,8.5
Nana,8.5
Kôkaku kidôtai: Stand Alone Complex,8.5
Saint Seiya,8.5
Robotech,8.5
Spy x Family,8.4
Naruto,8.4
Chainsaw Man,8.4
Mushoku-tensei ~Isekai ittara honki dasu~,8.4
Boku no hîrô akademia,8.3
Black Clover,8.3
Kiseijû: Sei no kakuritsu,8.3
Tengen toppa gurren lagann,8.3
Dororo,8.3
Saiki Kusuo no Psi Nan,8.3
N.H.K ni yôkoso!,8.3
Bleach: Burîchi,8.2
Yakusoku no Neverland,8.2
Psycho-Pass,8.2
Banana Fish,8.2
Kyaputen Tsubasa,8.2
Dr. Stone,8.1
